Inventario;Autore;Ambito culturale;Datazione;Titolo-soggetto;Materiali;Immagine;lsreferenceby
3213/C;Carpano;fabbrica di Vinovo;XVIII;busto di Vittorio Amedeo III;porcellana;http://93.62.170.226/foto/M0001239.jpg;http://www.palazzomadamatorino.it/it/node/8125
3214/C;;fabbrica di Vinovo;XVIII;decorazione floreale policroma;porcellana;http://93.62.170.226/foto/M0001240.jpg;http://www.palazzomadamatorino.it/it/node/25178
3216/C;Carpano;fabbrica di Vinovo;XVIII;decorazione floreale policroma;porcellana;http://93.62.170.226/foto/M0001242.jpg;http://www.palazzomadamatorino.it/it/node/25179
3218/C;;fabbrica di Vinovo;XVIII;contadino presso fontana/ contadino seduto;porcellana;http://93.62.170.226/foto/M0001244.jpg;http://www.palazzomadamatorino.it/it/node/25180
3220/C;;fabbrica di Vinovo;XVIII;scodella con vassoio;porcellana;http://93.62.170.226/foto/M0001246.jpg;http://www.palazzomadamatorino.it/it/node/28583
3221/C;;fabbrica di Vinovo;XVIII;decorazione policroma/ medaglione con paesaggio;porcellana;http://93.62.170.226/foto/M0001247.jpg;http://www.palazzomadamatorino.it/it/node/25181
3222/C;;fabbrica di Vinovo;XVIII;piatto;porcellana;http://93.62.170.226/foto/M0001248.jpg;http://www.palazzomadamatorino.it/it/node/28584
3223/C;;fabbrica di Vinovo;XVIII;paesaggio marino;porcellana;http://93.62.170.226/foto/M0001249.jpg;http://www.palazzomadamatorino.it/it/node/8127
3224/C;;fabbrica di Vinovo;XVIII;paesaggio montano;porcellana;http://93.62.170.226/foto/M0001250.jpg;http://www.palazzomadamatorino.it/it/node/8128
3225/C;;fabbrica di Vinovo;XVIII;paesaggio;porcellana;http://93.62.170.226/foto/M0001251.jpg;http://www.palazzomadamatorino.it/it/node/8129
3227/C-I;;fabbrica di Vinovo;XVIII;scena agreste;porcellana;http://93.62.170.226/foto/M0001253.jpg;http://www.palazzomadamatorino.it/it/node/25183
3230/C;;fabbrica di Vinovo;XVIII;busti femminili/anfore;porcellana;http://93.62.170.226/foto/M0001258.jpg;http://www.palazzomadamatorino.it/it/node/25185
3243/C;;fabbrica di Vinovo;XVIII;piatto;porcellana;http://93.62.170.226/foto/M0001271.jpg;http://www.palazzomadamatorino.it/it/node/28591
3255/C;;fabbrica di Vinovo;XVIII;caccia al cervo;porcellana;http://93.62.170.226/foto/M0001283.jpg;http://www.palazzomadamatorino.it/it/node/25192
3262/C;;fabbrica di Vinovo;XVIII;decorazione floreale policroma;porcellana;http://93.62.170.226/foto/M0001290.jpg;http://www.palazzomadamatorino.it/it/node/25194
3263/C;;manifattura di Vische;XVIII;rissa tra due personaggi;porcellana;http://93.62.170.226/foto/M0001291.jpg;http://www.palazzomadamatorino.it/it/node/8139
3268/C;;Casteldurante;XVI (?);busto maschile;maiolica;http://93.62.170.226/foto/M0001296.jpg;http://www.palazzomadamatorino.it/it/node/8141
3272/C;;fabbrica anatolica;XVII ?;tazzina;porcellana;http://93.62.170.226/foto/M0001301.jpg;http://www.palazzomadamatorino.it/it/node/28608
3275/C;;manifattura Richard;XIX;stemma;porcellana;http://93.62.170.226/foto/M0001304.jpg;http://www.palazzomadamatorino.it/it/node/8142
3278/C;Baroni;manifattura di Le Nove;ca. 1800 - ca. 1820;Guerre di Grecia;porcellana;http://93.62.170.226/foto/M0001307.jpg;http://www.palazzomadamatorino.it/it/node/8145
3282/C-I;;Capodimonte;XVIII;morte di Annibale;porcellana;http://93.62.170.226/foto/M0001311.jpg;http://www.palazzomadamatorino.it/it/node/8146
3282/C-II;;Capodimonte;XVIII;soggetto mitologico;porcellana;http://93.62.170.226/foto/M0001312.jpg;http://www.palazzomadamatorino.it/it/node/8147
3283/C-I;;fabbrica di Grottaglie - Puglia;XVIII;vaso con coperchio;maiolica;http://93.62.170.226/foto/M0001313.jpg;http://www.palazzomadamatorino.it/it/node/28614
3283/C-II;;fabbrica di Grottaglie - Puglia;;vaso con coperchio;maiolica;http://93.62.170.226/foto/M0001314.jpg;http://www.palazzomadamatorino.it/it/node/28615
3283/C-III;;fabbrica di Grottaglie - Puglia;;vaso con coperchio;maiolica;http://93.62.170.226/foto/M0001315.jpg;http://www.palazzomadamatorino.it/it/node/28616
